mode,gender,do_smote,split_seed,init_seed,n_test_subjects,utt_acc,utt_macro_f1,utt_macro_auc,subject_acc,subject_f1,subject_auc,matched_iters
full,FEMALE,True,42,0,5,0.8050541516245487,0.583185654333544,,1.0,1.0,,
full,MALE,True,42,0,8,0.8065984072810012,0.8146656197351,0.9378152603337382,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,0,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,1,5,0.796028880866426,0.5782767226165579,,1.0,1.0,,
full,MALE,True,42,1,8,0.7861205915813424,0.795409598270573,0.9238013751259827,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,1,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,2,5,0.7996389891696751,0.5770114236894476,,1.0,1.0,,
full,MALE,True,42,2,8,0.8020477815699659,0.8103084761004457,0.9375668711017892,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,2,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,3,5,0.8212996389891697,0.5876388133099543,,1.0,1.0,,
full,MALE,True,42,3,8,0.8020477815699659,0.8095184014673572,0.9351182120138075,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,3,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,4,5,0.8086642599277978,0.5804980407028189,,1.0,1.0,,
full,MALE,True,42,4,8,0.8145620022753128,0.8208190252008635,0.938762537013349,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,4,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,5,5,0.7851985559566786,0.5696990234435169,,1.0,1.0,,
full,MALE,True,42,5,8,0.8077360637087599,0.8167211757217769,0.9366450976664437,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,5,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,6,5,0.8050541516245487,0.5823105981812905,,1.0,1.0,,
full,MALE,True,42,6,8,0.8088737201365188,0.8174272801017262,0.9379635477439313,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,6,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,7,5,0.8158844765342961,0.5860312526979193,,1.0,1.0,,
full,MALE,True,42,7,8,0.7974971558589306,0.8052050715294407,0.9312093942650259,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,7,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,8,5,0.8068592057761733,0.5837500643103359,,1.0,1.0,,
full,MALE,True,42,8,8,0.8191126279863481,0.8273700476748879,0.9431054189560357,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,8,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,9,5,0.8068592057761733,0.5840215511217277,,1.0,1.0,,
full,MALE,True,42,9,8,0.8111490329920364,0.8189652781364277,0.9365446965735021,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,9,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,10,5,0.8032490974729242,0.5828540486182289,,1.0,1.0,,
full,MALE,True,42,10,8,0.8100113765642776,0.8187422128936168,0.936020310384582,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,10,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,11,5,0.8140794223826715,0.5837080852892478,,1.0,1.0,,
full,MALE,True,42,11,8,0.8168373151308305,0.8244523360064343,0.9422407421841991,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,11,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,12,5,0.8303249097472925,0.593647948798419,,1.0,1.0,,
full,MALE,True,42,12,8,0.7974971558589306,0.80454582049226,0.9351903425425251,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,12,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,13,5,0.8212996389891697,0.5918188596760025,,1.0,1.0,,
full,MALE,True,42,13,8,0.8077360637087599,0.816995718821271,0.9319789412435305,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,13,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,14,5,0.8231046931407943,0.58926316430082,,1.0,1.0,,
full,MALE,True,42,14,8,0.8134243458475541,0.821840618299413,0.94397651911749,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,14,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,15,5,0.8158844765342961,0.5862867080392634,,1.0,1.0,,
full,MALE,True,42,15,8,0.7963594994311718,0.8051076742600157,0.9332380383128367,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,15,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,16,5,0.8158844765342961,0.5831616068806537,,1.0,1.0,,
full,MALE,True,42,16,8,0.8043230944254836,0.8122962843556057,0.9328690779846566,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,16,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,17,5,0.796028880866426,0.5776918715530127,,1.0,1.0,,
full,MALE,True,42,17,8,0.8213879408418657,0.8295223003791007,0.9490627114384834,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,17,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,18,5,0.8122743682310469,0.5854929962750767,,1.0,1.0,,
full,MALE,True,42,18,8,0.8043230944254836,0.8128672203465235,0.9363843783853748,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,18,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,19,5,0.8212996389891697,0.5922072833621468,,1.0,1.0,,
full,MALE,True,42,19,8,0.8020477815699659,0.809660436453289,0.9352557441403532,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,19,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,20,5,0.796028880866426,0.5758497465303748,,1.0,1.0,,
full,MALE,True,42,20,8,0.8270762229806599,0.8342720254150295,0.9446831879806651,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,20,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,21,5,0.8050541516245487,0.5823648106413146,,1.0,1.0,,
full,MALE,True,42,21,8,0.8191126279863481,0.8272949717350438,0.9414705549910009,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,21,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,22,5,0.8050541516245487,0.5866995195525354,,1.0,1.0,,
full,MALE,True,42,22,8,0.8100113765642776,0.81842854248893,0.9384883652204845,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,22,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,23,5,0.8050541516245487,0.5797553102053982,,1.0,1.0,,
full,MALE,True,42,23,8,0.7940841865756542,0.8021965944814609,0.9310543689437333,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,23,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,24,5,0.7870036101083032,0.5708261245674741,,1.0,1.0,,
full,MALE,True,42,24,8,0.8236632536973834,0.8315598380114508,0.9413736390860996,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,24,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,25,5,0.796028880866426,0.5773183131673698,,1.0,1.0,,
full,MALE,True,42,25,8,0.8088737201365188,0.8175961837054264,0.9378534491149585,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,25,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,26,5,0.8014440433212996,0.5794594152441425,,1.0,1.0,,
full,MALE,True,42,26,8,0.8168373151308305,0.8251760898534171,0.9372027128505552,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,26,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,27,5,0.8303249097472925,0.5902774654854522,,1.0,1.0,,
full,MALE,True,42,27,8,0.820250284414107,0.8279415978953227,0.9385227162433937,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,27,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,28,5,0.8212996389891697,0.5886146783769942,,1.0,1.0,,
full,MALE,True,42,28,8,0.8122866894197952,0.8209359251259899,0.9377107002291921,0.875,0.8857142857142857,1.0,
male_matched,MALE,True,42,28,5,,,,0.8,0.5999999999999999,,200.0
full,FEMALE,True,42,29,5,0.8014440433212996,0.5816649104320337,,1.0,1.0,,
full,MALE,True,42,29,8,0.8065984072810012,0.816743783543563,0.9368336322196812,0.875,0.8857142857142857,0.9777777777777779,
male_matched,MALE,True,42,29,5,,,,0.8,0.5999999999999999,,200.0
